,Word,Score
1200,charged,3.6
1201,david,3.4
1202,keen,3.3
1203,interest,3.6
1204,aesthetics,3.3
1205,qualities,3.3
1206,painting,3.4
1207,sculpture,3.3
1208,musical,4.1
1209,composition,2.6
1210,poem,3.3
1211,pleasing,4.0
1212,ear,2.3
1213,trangs,1.2
1214,constant,2.1
1215,affirmations,1.2
1216,spenser,2.7
1217,university,3.8
1218,aaah,4.7
1219,broken,1.6
1220,private,3.0
1221,colleges,3.0
1222,universities,3.0
1223,autonomous,3.0
1224,join,3.5
1225,warcraft,2.8
1226,pitted,2.8
1227,team,3.7
1228,adversaries,2.8
1229,moment,3.5
1230,knew,3.4
1231,existed,3.9
1232,apathy,3.6
1233,voting,3.6
1234,comes,4.0
1235,distaste,3.6
1236,politics,3.2
1237,ascendancy,3.5
1238,monarchs,3.5
1239,subjects,3.5
1240,rebellion,3.0
1241,sarah,3.7
1242,discerning,3.7
1243,realize,3.6
1244,prank,3.7
1245,orchestra,3.4
1246,makes,3.3
1247,discordant,3.4
1248,noises,4.1
1249,tuning,3.4
1250,discrepancy,3.4
1251,stories,4.8
1252,parties,3.4
1253,involved,2.8
1254,accident,3.1
1255,authorities,3.2
1256,deciding,3.4
1257,fear,3.1
1258,disdained,2.0
1259,disinclination,3.4
1260,early,4.0
1261,acclaimed,3.3
1262,actors,3.8
1263,performance,3.3
1264,student,3.1
1265,abridge,3.4
1266,paper,3.4
1267,taking,4.4
1268,details,3.1
1269,advocating,3.8
1270,equality,3.8
1271,politicians,3.4
1272,censured,3.7
1273,outrageous,3.7
1274,inappropriate,3.7
1275,behavior,4.5
1276,eichler,3.4
1277,notorious,3.4
1278,reputation,3.2
1279,austere,3.4
1280,students,4.0
1281,listen,3.6
1282,resort,3.2
1283,coercion,2.3
1284,migraines,2.4
1285,aspirin,2.4
1286,alleviate,2.4
1287,pain,4.2
1288,spensers,3.7
1289,sarcastic,3.7
1290,joking,3.7
1291,remarks,3.7
1292,misinterpreted,3.7
1293,signs,3.7
1294,ambivalence,3.7
1295,taken,3.8
1296,prefers,3.5
1297,arbitrary,3.6
1298,selection,3.6
1299,lottery,3.6
1300,machines,3.6
1301,hunger,3.6
1302,abstract,2.9
1303,concept,3.6
1304,convicted,3.2
1305,drug,4.1
1306,dealer,3.1
1307,comply,3.1
1308,death,4.1
1309,sentence,3.4
1310,reduced,3.1
1311,jehovahs,3.8
1312,witnesses,3.6
1313,knock,3.8
1314,religious,3.6
1315,zealots,3.8
1316,force,3.2
1317,beliefs,5.0
1318,iraq,3.4
1319,volatile,3.5
1320,subject,2.4
1321,political,3.5
1322,debate,3.5
1323,wrong,5.0
1324,heated,3.1
1325,argument,3.5
1326,spark,3.5
1327,neighbor,3.8
1328,virtuoso,3.4
1329,skills,3.5
1330,earned,3.3
1331,among,4.2
1332,experts,3.4
1333,sick,3.6
1334,vilified,3.2
1335,jealous,3.2
1336,ability,2.9
1337,sven,3.3
1338,verbose,3.3
1339,resorted,3.4
1340,calling,3.3
1341,chatterbox,3.3
1342,catholic,3.4
1343,venerate,3.5
1344,symbolic,3.5
1345,leader,3.5
1346,unsure,2.7
1347,suitor,2.7
1348,princess,2.7
1349,vacillated,2.7
1350,heirless,3.5
1351,royal,3.5
1352,poisoned,3.5
1353,general,3.9
1354,army,3.3
1355,finally,4.0
1356,chance,2.9
1357,usurp,3.5
1358,throne,3.5
1359,scandals,3.9
1360,involving,3.1
1361,altar,3.9
1362,boys,3.6
1363,leaders,3.9
1364,undermined,3.9
1365,faith,3.3
1366,plane,4.5
1367,approaching,4.0
1368,turbulence,3.0
1369,pilot,2.2
1370,asked,2.6
1371,passengers,3.0
1372,aboard,3.0
1373,fasten,3.3
1374,seat,4.1
1375,belts,3.1
1376,terse,3.9
1377,abrupt,3.4
1378,europe,3.0
1379,transient,3.8
1380,felt,3.6
1381,interactions,3.8
1382,traveling,3.8
1383,college,3.8
1384,jason,3.6
1385,taciturn,3.6
1386,individual,3.6
1387,sycophants,3.6
1388,praising,3.6
1389,surreptitious,3.4
1390,plan,3.7
1391,pranking,3.4
1392,adding,3.7
1393,translating,3.7
1394,contributors,3.7
1395,surely,3.5
1396,surpass,3.7
1397,superfluous,3.8
1398,essays,3.8
1399,essay,2.8
1400,superficial,2.5
1401,analysis,3.5
1402,highest,2.5
1403,grade,2.5
1404,professors,3.8
1405,detail,3.4
1406,succinct,3.8
1407,books,3.9
1408,prosecutors,3.7
1409,court,3.4
1410,substantiate,3.8
1411,claims,3.8
1412,suspect,3.6
1413,guilty,4.2
1414,maury,3.9
1415,povich,3.9
1416,pretentious,3.9
1417,lovers,3.9
1418,cheating,3.9
1419,prevalent,3.4
1420,belief,2.6
1421,according,3.6
1422,nationwide,3.4
1423,poll,3.4
1424,muslims,3.4
1425,linked,3.4
1426,terrorism,3.4
1427,roommate,3.2
1428,prodigal,3.2
1429,spending,3.2
1430,buys,2.7
1431,released,3.2
1432,regardless,3.2
1433,price,2.5
1434,profane,3.4
1435,used,4.2
1436,network,3.4
1437,television,3.4
1438,young,3.7
1439,subscribe,3.4
1440,cable,3.2
1441,freuds,3.5
1442,insights,3.5
1443,human,3.5
1444,led,3.6
1445,honored,4.7
1446,profound,3.5
1447,thinker,3.5
1448,served,2.6
1449,profusion,2.5
1450,wedding,2.5
1451,bride,3.7
1452,groom,2.5
1453,began,2.5
1454,invited,2.5
1455,guests,2.5
1456,proliferation,3.4
1457,usage,4.1
1458,given,3.3
1459,birth,2.6
1460,generation,3.4
1461,prolific,2.4
1462,writer,3.3
1463,months,2.8
1464,compensatory,2.7
1465,sense,2.2
1466,proximity,2.7
